PSize;OD;OD2;thk;thk2;H
DN20;26.7;21.3;2.87;2.77;38
DN25;33.4;26.7>21.3;3.38;2.87>2.77;51
DN32;42.2;33.4>26.7>21.3;3.56;3.38>2.87>2.77;51
DN40;48.3;42.2>33.4>26.7>21.3;3.68;3.56>3.38>2.87>2.77;64
DN50;60.3;48.3>42.2>33.4>26.7>21.3;3.91;3.68>3.56>3.38>2.87>2.77;76
DN65;73;60.3>48.3>42.2>33.4;5.16;3.91>3.68>3.56>3.38;89
DN80;88.9;73>60.3>48.3>42.2>33.4;5.49;5.16>3.91>3.68>3.56>3.38;89
"3""1/2";101.6;88.9>73>60.3>48.3>42.2;5.74;5.49>5.16>3.91>3.68>3.56;102
DN100;114.3;101.6>88.9>73>60.3>48.3>42.2>33.4;6.02;5.74>5.49>5.16>3.91>3.68>3.56>3.38;102
DN125;141.3;114.3>101.6>88.9>73>60.3;6.55;6.02>5.74>5.49>5.16>3.91;127
DN150;168.3;141.3>114.3>101.6>88.9>73>60.3;7.11;6.55>6.02>5.74>5.49>5.16>3.91;140
DN200;219.1;168.3>141.3>114.3>101.6>88.9;8.18;7.11>6.55>6.02>5.74>5.49;152
DN250;273;219.1>168.3>141.3>114.3;9.27;8.18>7.11>6.55>6.02;178
DN300;323.8;273>219.1>168.3>141.3>114.3;9.52;9.27>8.18>7.11>6.55>6.02;203
DN350;355.6;323>273>219.1>168.3;9.52;9.52>9.27>8.18>7.11;330
DN400;406.4;355.6>323.8>273>219.1>168.3;9.52;9.52>9.52>9.27>8.18>7.11;356
DN450;457.2;406.4>355.6;9.52;9.52>9.52;381
